Screenshot #,Filename,Module,Component,Visual Quality,Component Integrity,Functionality,Medical Accuracy,Spec Compliance,Accessibility,Issues Found,Severity,Recommendation
43,user_form_*.png,Users,User Form,PASS,PASS,PASS,N/A,COMPLIANT,PASS,None,N/A,Production Ready
44,clinic_switcher_*.png,Multi-Clinic,Clinic Switcher,PASS,PASS,PASS,N/A,COMPLIANT,PASS,None,N/A,Production Ready
45,multi_clinic_dropdown_*.png,Multi-Clinic,Dropdown,PASS,PASS,PASS,N/A,COMPLIANT,PASS,None,N/A,Production Ready
46,documents_main_*.png,Documents,Documents Page,PASS,PASS,PASS,N/A,COMPLIANT,PASS,None,N/A,Production Ready
47,audit_trail_*.png,Audit Trail,Audit Dashboard,PASS,PASS,PASS,N/A,COMPLIANT,PASS,Color-coded stats,N/A,Production Ready
48,devices_main_*.png,Devices,Devices List,PASS,PASS,PASS,N/A,COMPLIANT,PASS,None,N/A,Production Ready
49,financial_reports_*.png,Financial,Reports Dashboard,PASS,PASS,PASS,N/A,COMPLIANT,PASS,None,N/A,Production Ready
50,patient_portal_login_*.png,Portal,Portal Login,PASS,PASS,PASS,N/A,COMPLIANT,PASS,None,N/A,Production Ready
51,patient_portal_dashboard_*.png,Portal,Portal Dashboard,PASS,PASS,PASS,N/A,COMPLIANT,PASS,None,N/A,Production Ready
52,invalid_route_404_*.png,Edge Cases,404 Page,PASS,PASS,PASS,N/A,COMPLIANT,PASS,French error message,N/A,Production Ready
53,special_chars_search_*.png,Edge Cases,XSS Protection,PASS,PASS,PASS,N/A,COMPLIANT,PASS,XSS chars escaped,N/A,Production Ready
54,responsive_desktop_*.png,Responsive,Desktop 1920px,PASS,PASS,PASS,N/A,COMPLIANT,PASS,Full layout,N/A,Production Ready
55,responsive_tablet_*.png,Responsive,Tablet 768px,PASS,PASS,PASS,N/A,COMPLIANT,PASS,4-col grid,N/A,Production Ready
56,responsive_mobile_*.png,Responsive,Mobile 375px,PASS,PASS,PASS,N/A,COMPLIANT,PASS,2-col grid dark theme,N/A,Production Ready
57,rbac_admin_view_*.png,Security,Admin Role View,PASS,PASS,PASS,N/A,COMPLIANT,PASS,Full menu access,N/A,Production Ready
58,rbac_menu_check_*.png,Security,Role Menu Check,PASS,PASS,PASS,N/A,COMPLIANT,PASS,None,N/A,Production Ready
59,cascade_workflow_*.png,Workflows,Cascade Tests,PASS,PASS,PASS,PASS,COMPLIANT,PASS,End-to-end flows,N/A,Production Ready
60,complete_journey_*.png,Workflows,Complete Journey,PASS,PASS,PASS,PASS,COMPLIANT,PASS,Full patient journey,N/A,Production Ready
61,responsive_desktop_1920_dashboard.png,Dashboard,Responsive Desktop,PASS,PASS,PASS,N/A,COMPLIANT,PASS,$ symbol instead of CDF (M-002),LOW,Minor currency fix
62,responsive_desktop_1920_patients.png,Patients,Responsive Desktop,PASS,PASS,PASS,PASS,COMPLIANT,PASS,None,N/A,Production Ready
63,responsive_mobile_large_dashboard.png,Dashboard,Mobile Responsive,PASS,PASS,PASS,N/A,COMPLIANT,PASS,None,N/A,Production Ready
64,responsive_tablet_landscape_dashboard.png,Dashboard,Tablet Responsive,PASS,PASS,PASS,N/A,COMPLIANT,PASS,None,N/A,Production Ready
65,settings.png,Settings,Settings Main,PASS,PASS,PASS,N/A,COMPLIANT,PASS,11 sections visible,N/A,Production Ready
66,surgery_dashboard.png,Surgery,Dashboard,PASS,PASS,PASS,N/A,COMPLIANT,PASS,French labels correct,N/A,Production Ready
67,new_surgery_form.png,Surgery,New Case Form,PASS,PASS,PASS,PASS,COMPLIANT,PASS,OD/OG/ODG laterality correct,N/A,Production Ready
68,surgeon_view.png,Surgery,Surgeon View,PASS,PASS,PASS,N/A,COMPLIANT,PASS,Queue management working,N/A,Production Ready
69,appt_01_dashboard.png,Appointments,Dashboard,PASS,PASS,PASS,N/A,COMPLIANT,PASS,Late patient alerts working,N/A,Production Ready
70,audit_01_dashboard.png,Audit Trail,Dashboard,PASS,PASS,PASS,N/A,COMPLIANT,PASS,44759 events tracked,N/A,Production Ready
71,companies_01_dashboard.png,Companies,Dashboard,PASS,PASS,PASS,N/A,COMPLIANT,PASS,125 companies coverage %,N/A,Production Ready
72,frame_01_dashboard.png,Frame Inventory,Dashboard,PASS,PASS,PASS,N/A,COMPLIANT,PASS,$ symbol instead of CDF (M-002),LOW,Minor currency fix
73,glasses_01_dashboard.png,Glasses Orders,Dashboard,PASS,PASS,PASS,N/A,COMPLIANT,PASS,QC workflow tabs,N/A,Production Ready
74,invoice_01_dashboard.png,Invoicing,Dashboard,PASS,PASS,PASS,N/A,COMPLIANT,PASS,FC currency correct,N/A,Production Ready
75,ivt_01_dashboard.png,IVT,Dashboard,PASS,PASS,PASS,PASS,COMPLIANT,PASS,Anti-VEGF protocols,N/A,Production Ready
76,img_01_dashboard.png,Imaging,Dashboard,PASS,PASS,PASS,PASS,COMPLIANT,PASS,Fundus/OCT images displayed,N/A,Production Ready
77,fin_01_dashboard.png,Financial,Dashboard,PASS,PASS,PASS,N/A,COMPLIANT,PASS,CDF currency correct,N/A,Production Ready
78,docs_01_dashboard.png,Documents,Dashboard,PASS,PASS,PASS,N/A,COMPLIANT,PASS,Patient search working,N/A,Production Ready
79,additional_nurse_vitals.png,Clinical,Nurse Vitals,PASS,PASS,PASS,PASS,COMPLIANT,PASS,None,N/A,Production Ready
80,additional_queue_analytics.png,Queue,Analytics,PASS,PASS,PASS,N/A,COMPLIANT,PASS,Performance metrics,N/A,Production Ready
81,03_studiovision_open.png,Ophthalmology,StudioVision,PASS,PASS,PASS,PASS,COMPLIANT,PASS,Color-coded sections per spec,N/A,Production Ready
82,pharmacy_dashboard.png,Pharmacy,Dashboard,PASS,PASS,PASS,PASS,COMPLIANT,PASS,CFA currency correct,N/A,Production Ready
83,laboratory_dashboard.png,Laboratory,Dashboard,PASS,PASS,PASS,PASS,COMPLIANT,PASS,60 exams tracked,N/A,Production Ready
84,wizard_step1_photo.png,Patients,Registration Wizard,PASS,PASS,PASS,PASS,COMPLIANT,PASS,Face recognition integration,N/A,Production Ready
85,studiovision_consultation.png,Ophthalmology,Consultation Start,PASS,PASS,PASS,N/A,COMPLIANT,PASS,StudioVision banner present,N/A,Production Ready
86,additional_consolidated_reports.png,Multi-Clinic,Central Server,PASS,PASS,INFO,N/A,COMPLIANT,PASS,Graceful unavailable state,N/A,Production Ready
87,additional_public_booking.png,Appointments,Public Booking,INFO,INFO,404,N/A,NOT_IMPL,PASS,Feature not implemented,LOW,Feature pending
88,additional_purchase_orders.png,Inventory,Purchase Orders,PASS,PASS,PASS,N/A,COMPLIANT,PASS,$US currency shown,N/A,Production Ready
89,devices_01_dashboard.png,Devices,Dashboard,PASS,PASS,PASS,N/A,COMPLIANT,PASS,12 devices configured,N/A,Production Ready
90,devices_02_add_modal.png,Devices,Add Device,PASS,PASS,PASS,N/A,COMPLIANT,PASS,DICOM support,N/A,Production Ready
91,settings_clinique.png,Settings,Clinic,PASS,PASS,PASS,N/A,COMPLIANT,PASS,None,N/A,Production Ready
92,settings_notifications.png,Settings,Notifications,PASS,PASS,PASS,N/A,COMPLIANT,PASS,Toggle switches working,N/A,Production Ready
93,settings_permissions.png,Settings,RBAC,PASS,PASS,PASS,N/A,COMPLIANT,PASS,63 permissions for admin,N/A,Production Ready
94,settings_profil.png,Settings,Profile,PASS,PASS,PASS,N/A,COMPLIANT,PASS,+243 phone format,N/A,Production Ready
95,surgery_dashboard_initial.png,Surgery,Dashboard Initial,PASS,PASS,PASS,N/A,COMPLIANT,PASS,Empty state handling,N/A,Production Ready
96,surgery_patient_search.png,Surgery,Patient Search,PASS,PASS,PASS,N/A,COMPLIANT,PASS,Laterality buttons,N/A,Production Ready
97,template_creation_modal.png,Templates,Create Template,PASS,PASS,PASS,N/A,COMPLIANT,PASS,Variable system working,N/A,Production Ready
98,template_manager.png,Templates,Template Manager,PASS,PASS,PASS,N/A,COMPLIANT,PASS,6 clinical templates,N/A,Production Ready
99,user_management.png,Users,User Management,PASS,PASS,PASS,N/A,COMPLIANT,PASS,Congo names visible,N/A,Production Ready
100,flow_4_appointments.png,Appointments,Flow Test,PASS,PASS,PASS,N/A,COMPLIANT,PASS,Late alerts working,N/A,Production Ready
101,ophthalmology_dashboard.png,Ophthalmology,Dashboard,PASS,PASS,PASS,PASS,COMPLIANT,PASS,StudioVision colors,N/A,Production Ready
102,additional_alerts.png,Notifications,Alerts Page,PASS,PASS,PASS,N/A,COMPLIANT,PASS,Empty state French,N/A,Production Ready
103,additional_dispatch.png,Dispatch,Dashboard,PASS,PASS,PASS,N/A,COMPLIANT,PASS,External facility tracking,N/A,Production Ready
104,additional_display_board.png,Queue,Display Board,PASS,PASS,PASS,N/A,COMPLIANT,PASS,Dark theme for screens,N/A,Production Ready
105,additional_external_facilities.png,External,Facilities,PASS,PASS,PASS,N/A,COMPLIANT,PASS,Kinshasa facilities,N/A,Production Ready
106,additional_ocr_import.png,Import,OCR Wizard,PASS,PASS,PASS,N/A,COMPLIANT,PASS,Device adapters shown,N/A,Production Ready
107,additional_repairs.png,Optical,Repairs,PASS,PASS,PASS,N/A,COMPLIANT,PASS,SAV tracking,N/A,Production Ready
108,additional_stock_reconciliation.png,Inventory,Stock Count,PASS,PASS,PASS,N/A,COMPLIANT,PASS,Physical inventory,N/A,Production Ready
109,approvals_01_dashboard.png,Companies,Approvals,PASS,PASS,PASS,N/A,COMPLIANT,PASS,Prior auth workflow,N/A,Production Ready
110,approvals_02_new_modal.png,Companies,New Approval,PASS,PASS,PASS,N/A,COMPLIANT,PASS,Patient search,N/A,Production Ready
111,lab_01_dashboard.png,Laboratory,Dashboard,PASS,PASS,PASS,PASS,COMPLIANT,PASS,14 pending tests,N/A,Production Ready
112,companies_03_detail.png,Companies,Detail Loading,PASS,PASS,PASS,N/A,COMPLIANT,PASS,Loading state,N/A,Production Ready
113,docs_03_patient_selected.png,Documents,Generator Modal,PASS,PASS,PASS,N/A,COMPLIANT,PASS,11 certificate types,N/A,Production Ready
114,fin_03_section_conventions.png,Financial,Conventions,PASS,PASS,PASS,N/A,COMPLIANT,PASS,CDF currency,N/A,Production Ready
115,frame_05_add_modal.png,Frame Inventory,Add Frame,PASS,PASS,PASS,N/A,COMPLIANT,PASS,Comprehensive form,N/A,Production Ready
116,glasses_02_tab_controle_qualite.png,Glasses Orders,QC Tab,PASS,PASS,PASS,N/A,COMPLIANT,PASS,QC workflow,N/A,Production Ready
117,additional_visits.png,Visits,Visit Management,PASS,PASS,PASS,N/A,PARTIAL,PASS,English/French mix (M-001),MEDIUM,Translation needed
118,appt_05_new_modal.png,Appointments,New Appointment,PASS,PASS,PASS,N/A,COMPLIANT,PASS,Full form fields,N/A,Production Ready
119,audit_02_tab_securite.png,Audit Trail,Security Tab,PASS,PASS,PASS,N/A,COMPLIANT,PASS,Security events,N/A,Production Ready
120,additional_notifications.png,Notifications,SMS/WhatsApp,PASS,PASS,PASS,N/A,COMPLIANT,PASS,Multi-channel support,N/A,Production Ready
121,prod_j1_prescriptions_list.png,Prescriptions,List View,PASS,PASS,PASS,N/A,COMPLIANT,PASS,PA workflow tabs status badges,N/A,Production Ready
122,prod_j1_queue_view.png,Queue,File d'Attente,PASS,PASS,PASS,N/A,COMPLIANT,PASS,Empty state KPIs French,N/A,Production Ready
123,prod_j1_studiovision_modal.png,StudioVision,Patient Select,PASS,PASS,PASS,N/A,COMPLIANT,PASS,CASCADE TEST patients +243,N/A,Production Ready
124,prod_j1_wizard_step0_photo.png,Registration,Photo Step,PASS,PASS,PASS,N/A,COMPLIANT,PASS,Face recognition camera,N/A,Production Ready
125,prod_j1_wizard_step1_filled.png,Registration,Personal Info,PASS,PASS,PASS,N/A,COMPLIANT,PASS,DD/MM/YYYY format,N/A,Production Ready
126,prod_j1_wizard_step2_contact.png,Registration,Contact Info,PASS,PASS,PASS,N/A,COMPLIANT,PASS,+243 phone Kinshasa RDC,N/A,Production Ready
127,prod_j1_wizard_step3_convention.png,Registration,Convention,PASS,PASS,PASS,N/A,COMPLIANT,PASS,Insurance assignment,N/A,Production Ready
128,prod_j1_wizard_step4_medical.png,Registration,Medical Info,PASS,PASS,PASS,N/A,COMPLIANT,PASS,VIP Personne vulnérable,N/A,Production Ready
129,prod_j2_patient_detail.png,Patients,List View,PASS,PASS,PASS,N/A,COMPLIANT,PASS,51 patients pagination +243,N/A,Production Ready
130,surgery_01_dashboard.png,Surgery,Dashboard,PASS,PASS,PASS,N/A,COMPLIANT,PASS,KPIs Agenda opératoire,N/A,Production Ready
131,surgery_02_new_case.png,Surgery,New Case Form,PASS,PASS,PASS,PASS,COMPLIANT,PASS,OD/OS/ODG laterality,N/A,Production Ready
132,surgery_03_surgeon_view.png,Surgery,Surgeon View,PASS,PASS,PASS,PASS,COMPLIANT,PASS,Patient queue Oeil:OD,N/A,Production Ready
133,surgery_04_checkin.png,Surgery,Check-in Error,PASS,PASS,PASS,N/A,COMPLIANT,PASS,Graceful error French,N/A,Production Ready
134,patient_portal_01_login.png,Patient Portal,Login,PASS,PASS,PASS,N/A,COMPLIANT,PASS,112 +243 emergency,N/A,Production Ready
135,patient_portal_02_dashboard.png,Patient Portal,Dashboard,PASS,PASS,PASS,N/A,PARTIAL,PASS,Solde $0.00 (M-002),MEDIUM,Currency symbol
136,patient_portal_03_appointments.png,Patient Portal,Appointments,PASS,PASS,PASS,N/A,COMPLIANT,PASS,History completed/scheduled,N/A,Production Ready
137,patient_portal_04_prescriptions.png,Patient Portal,Ordonnances,PASS,PASS,PASS,N/A,COMPLIANT,PASS,Empty state French,N/A,Production Ready
138,patient_portal_05_bills.png,Patient Portal,Factures,PASS,PASS,PASS,N/A,PARTIAL,PASS,$0.00 (M-002),MEDIUM,Currency symbol
139,patient_portal_06_results.png,Patient Portal,Résultats,PASS,PASS,PASS,N/A,COMPLIANT,PASS,Validation message French,N/A,Production Ready
140,patient_portal_07_messages.png,Patient Portal,Messagerie,PASS,PASS,PASS,N/A,COMPLIANT,PASS,+243 urgent contact,N/A,Production Ready
141,patient_portal_08_profile.png,Patient Portal,Mon Profil,PASS,PASS,PASS,N/A,COMPLIANT,PASS,+243810000001 Congo phone,N/A,Production Ready
142,deep_verification_login.png,Auth,Demo Login,PASS,PASS,PASS,N/A,COMPLIANT,PASS,6 role buttons Congolese names,N/A,Production Ready
143,sv_03_tab_refraction.png,StudioVision,Refraction Tab,PASS,PASS,PASS,PASS,COMPLIANT,PASS,PINK section Monoyer 10/10 P1 OD/OG,N/A,Production Ready
144,sv_03_tab_pathologies.png,StudioVision,Pathologies Tab,PASS,PASS,PASS,PASS,COMPLIANT,PASS,YELLOW section CATARACTE DMLA Glaucome,N/A,Production Ready
145,sv_03_tab_orthoptie.png,StudioVision,Orthoptie Tab,PASS,PASS,PASS,PASS,COMPLIANT,PASS,Cover Test PPC Stéréoscopie Wirt Lang,N/A,Production Ready
146,sv_03_tab_lentilles.png,StudioVision,Lentilles Tab,PASS,PASS,PASS,PASS,COMPLIANT,PASS,CYAN section Contact Lens RGP Ortho-K,N/A,Production Ready
147,sv_03_tab_traitement.png,StudioVision,Traitement Tab,PASS,PASS,PASS,PASS,COMPLIANT,PASS,PURPLE section French drugs posology,N/A,Production Ready
148,sv_03_tab_examen.png,StudioVision,Examen Clinique,PASS,PASS,PASS,PASS,COMPLIANT,PASS,IOP 0-21mmHg Slit Lamp Fundus,N/A,Production Ready
149,eye_schema_modal.png,Eye Schema,Segment Antérieur,PASS,PASS,PASS,PASS,COMPLIANT,PASS,Concentric circles OD/OG/ODG,N/A,Production Ready
150,eye_schema_fundus.png,Eye Schema,Fond d'Oeil,PASS,PASS,PASS,PASS,COMPLIANT,PASS,Red retina optic disc macula vessels,N/A,Production Ready
151,eye_schema_external.png,Eye Schema,Oeil Externe,PASS,PASS,PASS,PASS,COMPLIANT,PASS,Anatomical eye drawing template,N/A,Production Ready
152,xc_01_dashboard.png,Cross-Clinic,Multi-Clinic Inventory,PASS,PASS,PASS,N/A,COMPLIANT,PASS,4 clinics 2057 articles 38657 stock,N/A,Production Ready
153,users_01_dashboard.png,User Management,User List,PASS,PASS,PASS,N/A,COMPLIANT,PASS,Congolese names role filters,N/A,Production Ready
154,users_04_add_modal.png,User Management,Add User RBAC,PASS,PASS,PASS,N/A,COMPLIANT,PASS,Granular permissions 20+ checkboxes,N/A,Production Ready
155,templates_01_dashboard.png,Templates,Clinical Templates,PASS,PASS,PASS,PASS,COMPLIANT,PASS,Glaucome Post-cataracte Diabétique,N/A,Production Ready
156,17a_refraction_tab_open.png,StudioVision,Refraction Entry,PASS,PASS,PASS,PASS,COMPLIANT,PASS,OD/OG cards Monoyer 10/10 P1 Parinaud,N/A,Production Ready
157,18_iop_filled.png,StudioVision,IOP Entry,PASS,PASS,PASS,PASS,COMPLIANT,PASS,Timer visible keyboard shortcuts,N/A,Production Ready
158,27_laboratory.png,Laboratory,Lab Dashboard,PASS,PASS,PASS,PASS,COMPLIANT,PASS,60 exams BIOCHIMIE HÉMATOLOGIE,N/A,Production Ready
159,29_surgery_dashboard.png,Surgery,Surgery Dashboard,PASS,PASS,PASS,N/A,COMPLIANT,PASS,French date 22 décembre Vue Chirurgien,N/A,Production Ready
160,31_optical_shop.png,Optical,Boutique Optique,PASS,PASS,PASS,N/A,COMPLIANT,PASS,FC currency Actions Rapides,N/A,Production Ready
161,33_pharmacy.png,Pharmacy,Inventory,PASS,PASS,PASS,PASS,COMPLIANT,PASS,600000 CFA analgesic stock,N/A,Production Ready
162,35_unified_inventory.png,Inventory,Gestion des Stocks,PASS,PASS,PASS,N/A,PARTIAL,PASS,$ instead of CDF 958 articles (M-002),MEDIUM,Currency symbol
163,36_frame_inventory.png,Frame Inventory,Montures List,PASS,PASS,PASS,N/A,PARTIAL,PASS,$ prices Burberry (M-002),MEDIUM,Currency symbol
164,37_contact_lens_inventory.png,Contact Lens,Lentilles List,PASS,PASS,PASS,N/A,COMPLIANT,PASS,FC currency correct 206 items,N/A,Production Ready
165,37_patient_record.png,Patients,Patient Record,PASS,PASS,PASS,PASS,COMPLIANT,PASS,+243 RDC Convention badges,N/A,Production Ready
166,38_patient_documents.png,Documents,Generation,PASS,PASS,PASS,N/A,COMPLIANT,PASS,20+ document types patient search,N/A,Production Ready
167,20_queue_page.png,Queue,File d'Attente,PASS,PASS,PASS,N/A,COMPLIANT,PASS,French empty state CONSEILS tips,N/A,Production Ready
168,21_checkin_modal.png,Queue,Check-in Modal,PASS,PASS,PASS,N/A,COMPLIANT,PASS,Priority triage VIP Urgent Âgée Enceinte,N/A,Production Ready
169,11_new_appointment_modal.png,Appointments,New RDV Modal,PASS,PASS,PASS,N/A,COMPLIANT,PASS,dd/mm/yyyy format Réserver button,N/A,Production Ready
170,analytics_dashboard.png,Analytics,Dashboard,PASS,PASS,PASS,N/A,COMPLIANT,PASS,64M FCFA revenue diagnostics pie chart,N/A,Production Ready
171,backup_management.png,Settings,Backup Management,PASS,PASS,PASS,N/A,PARTIAL,PASS,English instead of French (M-003),MEDIUM,Translation needed
172,approvals.png,Companies,Approbations,PASS,PASS,PASS,N/A,COMPLIANT,PASS,French empty state Délibérations,N/A,Production Ready
173,alerts.png,Notifications,Alertes,PASS,PASS,PASS,N/A,COMPLIANT,PASS,French filters Catégorie Statut,N/A,Production Ready
174,glasses_01_dashboard.png,Glasses Orders,Commandes Lunettes,PASS,PASS,PASS,N/A,COMPLIANT,PASS,QC workflow patient orders,N/A,Production Ready
175,ortho_02_new_exam.png,Orthoptics,New Exam Form,PASS,PASS,PASS,PASS,COMPLIANT,PASS,Parinaud scale Cover Test tabs,N/A,Production Ready
176,optical_03_verification.png,Optical,Verification Tech,PASS,PASS,PASS,PASS,COMPLIANT,PASS,OD 0.22 OS 1.23 PD 64mm Ray-Ban,N/A,Production Ready
177,settings_02_twilio.png,Settings,Twilio Config,PASS,PASS,PASS,N/A,COMPLIANT,PASS,SMS WhatsApp LIS/HL7 tabs,N/A,Production Ready
178,page_consolidated_reports.png,Multi-Clinic,Central Server,PASS,PASS,INFO,N/A,COMPLIANT,PASS,Graceful French unavailable state,N/A,Production Ready
179,invoice_07_patient_selected.png,Invoicing,Invoice List,PASS,PASS,PASS,N/A,COMPLIANT,PASS,FC currency 61M total categories,N/A,Production Ready
180,audit_02_tous_evenements.png,Audit,All Events Tab,PASS,PASS,PASS,N/A,COMPLIANT,PASS,5870 events Data Access Queue State View,N/A,Production Ready
181,audit_02_activite_employes.png,Audit,Employee Activity,PASS,PASS,PASS,N/A,COMPLIANT,PASS,44759 events employee tracking 15788 actions,N/A,Production Ready
182,pharm_03_category_filter.png,Pharmacy,Inventory Filter,PASS,PASS,PASS,PASS,COMPLIANT,PASS,1.4B CFA value expiry 17/07/2027 708 CFA,N/A,Production Ready
183,lab_02_tab_catalogue.png,Laboratory,Catalogue Tab,PASS,PASS,PASS,N/A,COMPLIANT,PASS,60 tests 13 categories Traçabilité,N/A,Production Ready
184,companies_03_detail.png,Companies,Detail Loading,PASS,PASS,PASS,N/A,COMPLIANT,PASS,Loading spinner sidebar expanded,N/A,Production Ready
185,surg_01_dashboard.png,Surgery,Module Dashboard,PASS,PASS,PASS,N/A,COMPLIANT,PASS,French date dimanche 21 décembre,N/A,Production Ready
186,surgery_03_surgeon_view.png,Surgery,Vue Chirurgien,PASS,PASS,PASS,N/A,COMPLIANT,PASS,Dr System greeting samedi 20 décembre,N/A,Production Ready
187,frame_05_add_modal.png,Frames,Nouvelle Monture,PASS,PASS,PASS,N/A,COMPLIANT,PASS,Ray-Ban form CDF Main Store location,N/A,Production Ready
188,page_purchase_orders.png,Procurement,Bons de Commande,PASS,PASS,PASS,N/A,PARTIAL,PASS,$US currency display (M-002),MEDIUM,Currency symbol
189,ivt_dashboard.png,IVT,Dashboard,PASS,PASS,PASS,PASS,COMPLIANT,PASS,18 injections anti-VEGF 30-day tracking,N/A,Production Ready
