Screenshot #,Filename,Relative Path,Module,Component,State,Timestamp,Size (KB),Analysis Notes,Spec Compliance,Visual Integrity,Functionality
71,prod_j1_appointment_created_20251229_004143.png,prod_j1_appointment_created_20251229_004143.png,General,Appointment,Created,2025-12-29 00:41:43,191.3,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
72,prod_j1_appointment_created_20251229_013946.png,prod_j1_appointment_created_20251229_013946.png,General,Appointment,Created,2025-12-29 01:39:46,191.3,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
73,prod_j1_appointment_created_20251229_014314.png,prod_j1_appointment_created_20251229_014314.png,General,Appointment,Created,2025-12-29 01:43:14,191.3,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
74,prod_j1_appointment_created_20251229_014739.png,prod_j1_appointment_created_20251229_014739.png,General,Appointment,Created,2025-12-29 01:47:39,191.3,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
75,prod_j1_appointment_created_20251229_015104.png,prod_j1_appointment_created_20251229_015104.png,General,Appointment,Created,2025-12-29 01:51:04,191.3,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
76,prod_j1_appointment_created_20251229_015311.png,prod_j1_appointment_created_20251229_015311.png,General,Appointment,Created,2025-12-29 01:53:11,191.3,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
77,prod_j1_appointment_form_filled_20251229_003523.png,prod_j1_appointment_form_filled_20251229_003523.png,General,"Form, Appointment",Form Filled,2025-12-29 00:35:23,219.8,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
78,prod_j1_appointment_form_filled_20251229_003838.png,prod_j1_appointment_form_filled_20251229_003838.png,General,"Form, Appointment",Form Filled,2025-12-29 00:38:38,219.8,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
79,prod_j1_appointment_form_filled_20251229_004142.png,prod_j1_appointment_form_filled_20251229_004142.png,General,"Form, Appointment",Form Filled,2025-12-29 00:41:42,185.9,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
80,prod_j1_appointment_form_filled_20251229_013944.png,prod_j1_appointment_form_filled_20251229_013944.png,General,"Form, Appointment",Form Filled,2025-12-29 01:39:44,185.9,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
81,prod_j1_appointment_form_filled_20251229_014312.png,prod_j1_appointment_form_filled_20251229_014312.png,General,"Form, Appointment",Form Filled,2025-12-29 01:43:12,185.9,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
82,prod_j1_appointment_form_filled_20251229_014737.png,prod_j1_appointment_form_filled_20251229_014737.png,General,"Form, Appointment",Form Filled,2025-12-29 01:47:37,185.9,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
83,prod_j1_appointment_form_filled_20251229_015102.png,prod_j1_appointment_form_filled_20251229_015102.png,General,"Form, Appointment",Form Filled,2025-12-29 01:51:02,185.9,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
84,prod_j1_appointment_form_filled_20251229_015309.png,prod_j1_appointment_form_filled_20251229_015309.png,General,"Form, Appointment",Form Filled,2025-12-29 01:53:09,185.9,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
85,prod_j1_appointments_list_20251229_003102.png,prod_j1_appointments_list_20251229_003102.png,Appointments,"List View, Appointment",Captured State,2025-12-29 00:31:02,790.3,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
86,prod_j1_appointments_list_20251229_003518.png,prod_j1_appointments_list_20251229_003518.png,Appointments,"List View, Appointment",Captured State,2025-12-29 00:35:18,790.3,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
87,prod_j1_appointments_list_20251229_003833.png,prod_j1_appointments_list_20251229_003833.png,Appointments,"List View, Appointment",Captured State,2025-12-29 00:38:33,790.3,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
88,prod_j1_appointments_list_20251229_004136.png,prod_j1_appointments_list_20251229_004136.png,Appointments,"List View, Appointment",Captured State,2025-12-29 00:41:37,790.3,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
89,prod_j1_appointments_list_20251229_013939.png,prod_j1_appointments_list_20251229_013939.png,Appointments,"List View, Appointment",Captured State,2025-12-29 01:39:39,790.3,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
90,prod_j1_appointments_list_20251229_014307.png,prod_j1_appointments_list_20251229_014307.png,Appointments,"List View, Appointment",Captured State,2025-12-29 01:43:07,790.3,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
91,prod_j1_appointments_list_20251229_014732.png,prod_j1_appointments_list_20251229_014732.png,Appointments,"List View, Appointment",Captured State,2025-12-29 01:47:32,790.3,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
92,prod_j1_appointments_list_20251229_015057.png,prod_j1_appointments_list_20251229_015057.png,Appointments,"List View, Appointment",Captured State,2025-12-29 01:50:57,790.3,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
93,prod_j1_appointments_list_20251229_015304.png,prod_j1_appointments_list_20251229_015304.png,Appointments,"List View, Appointment",Captured State,2025-12-29 01:53:04,790.3,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
94,prod_j1_checkin_modal_20251229_003139.png,prod_j1_checkin_modal_20251229_003139.png,General,"Modal Dialog, Check-in",Captured State,2025-12-29 00:31:39,228.5,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
95,prod_j1_checkin_modal_20251229_003557.png,prod_j1_checkin_modal_20251229_003557.png,General,"Modal Dialog, Check-in",Captured State,2025-12-29 00:35:57,228.5,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
96,prod_j1_checkin_modal_20251229_003912.png,prod_j1_checkin_modal_20251229_003912.png,General,"Modal Dialog, Check-in",Captured State,2025-12-29 00:39:12,228.5,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
97,prod_j1_checkin_modal_20251229_004147.png,prod_j1_checkin_modal_20251229_004147.png,General,"Modal Dialog, Check-in",Captured State,2025-12-29 00:41:47,228.5,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
98,prod_j1_checkin_modal_20251229_013949.png,prod_j1_checkin_modal_20251229_013949.png,General,"Modal Dialog, Check-in",Captured State,2025-12-29 01:39:49,221.6,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
99,prod_j1_checkin_modal_20251229_014318.png,prod_j1_checkin_modal_20251229_014318.png,General,"Modal Dialog, Check-in",Captured State,2025-12-29 01:43:18,221.6,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
100,prod_j1_checkin_modal_20251229_014743.png,prod_j1_checkin_modal_20251229_014743.png,General,"Modal Dialog, Check-in",Captured State,2025-12-29 01:47:43,221.6,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
101,prod_j1_checkin_modal_20251229_015108.png,prod_j1_checkin_modal_20251229_015108.png,General,"Modal Dialog, Check-in",Captured State,2025-12-29 01:51:08,221.6,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
102,prod_j1_checkin_modal_20251229_015314.png,prod_j1_checkin_modal_20251229_015314.png,General,"Modal Dialog, Check-in",Captured State,2025-12-29 01:53:15,221.6,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
103,prod_j1_invoice_created_20251229_003201.png,prod_j1_invoice_created_20251229_003201.png,Invoicing,Invoice,Created,2025-12-29 00:32:01,183.9,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
104,prod_j1_invoice_created_20251229_003618.png,prod_j1_invoice_created_20251229_003618.png,Invoicing,Invoice,Created,2025-12-29 00:36:18,183.7,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
105,prod_j1_invoice_created_20251229_003934.png,prod_j1_invoice_created_20251229_003934.png,Invoicing,Invoice,Created,2025-12-29 00:39:34,184.5,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
106,prod_j1_invoice_created_20251229_004209.png,prod_j1_invoice_created_20251229_004209.png,Invoicing,Invoice,Created,2025-12-29 00:42:09,183.5,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
107,prod_j1_invoice_created_20251229_014042.png,prod_j1_invoice_created_20251229_014042.png,Invoicing,Invoice,Created,2025-12-29 01:40:42,184.5,404 error handling test,COMPLIANT,PASSED,VERIFIED
108,prod_j1_invoice_created_20251229_014410.png,prod_j1_invoice_created_20251229_014410.png,Invoicing,Invoice,Created,2025-12-29 01:44:10,184.4,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
109,prod_j1_invoice_created_20251229_014836.png,prod_j1_invoice_created_20251229_014836.png,Invoicing,Invoice,Created,2025-12-29 01:48:36,184.1,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
110,prod_j1_invoice_created_20251229_015127.png,prod_j1_invoice_created_20251229_015127.png,Invoicing,Invoice,Created,2025-12-29 01:51:27,184.0,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
111,prod_j1_invoice_created_20251229_015336.png,prod_j1_invoice_created_20251229_015336.png,Invoicing,Invoice,Created,2025-12-29 01:53:36,184.2,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
112,prod_j1_invoice_items_20251229_003201.png,prod_j1_invoice_items_20251229_003201.png,Invoicing,Invoice,Captured State,2025-12-29 00:32:01,183.9,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
113,prod_j1_invoice_items_20251229_003618.png,prod_j1_invoice_items_20251229_003618.png,Invoicing,Invoice,Captured State,2025-12-29 00:36:18,183.7,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
114,prod_j1_invoice_items_20251229_003934.png,prod_j1_invoice_items_20251229_003934.png,Invoicing,Invoice,Captured State,2025-12-29 00:39:34,184.5,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
115,prod_j1_invoice_items_20251229_004209.png,prod_j1_invoice_items_20251229_004209.png,Invoicing,Invoice,Captured State,2025-12-29 00:42:09,183.5,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
116,prod_j1_invoice_items_20251229_014041.png,prod_j1_invoice_items_20251229_014041.png,Invoicing,Invoice,Captured State,2025-12-29 01:40:42,184.5,404 error handling test,COMPLIANT,PASSED,VERIFIED
117,prod_j1_invoice_items_20251229_014410.png,prod_j1_invoice_items_20251229_014410.png,Invoicing,Invoice,Captured State,2025-12-29 01:44:10,184.4,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
118,prod_j1_invoice_items_20251229_014836.png,prod_j1_invoice_items_20251229_014836.png,Invoicing,Invoice,Captured State,2025-12-29 01:48:36,184.1,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
119,prod_j1_invoice_items_20251229_015127.png,prod_j1_invoice_items_20251229_015127.png,Invoicing,Invoice,Captured State,2025-12-29 01:51:27,184.0,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
120,prod_j1_invoice_items_20251229_015336.png,prod_j1_invoice_items_20251229_015336.png,Invoicing,Invoice,Captured State,2025-12-29 01:53:36,184.2,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
121,prod_j1_invoicing_dashboard_20251229_003155.png,prod_j1_invoicing_dashboard_20251229_003155.png,Dashboard,Dashboard,Captured State,2025-12-29 00:31:57,3444.7,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
122,prod_j1_invoicing_dashboard_20251229_003613.png,prod_j1_invoicing_dashboard_20251229_003613.png,Dashboard,Dashboard,Captured State,2025-12-29 00:36:14,3444.7,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
123,prod_j1_invoicing_dashboard_20251229_003928.png,prod_j1_invoicing_dashboard_20251229_003928.png,Dashboard,Dashboard,Captured State,2025-12-29 00:39:29,3444.7,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
124,prod_j1_invoicing_dashboard_20251229_004203.png,prod_j1_invoicing_dashboard_20251229_004203.png,Dashboard,Dashboard,Captured State,2025-12-29 00:42:05,3444.7,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
125,prod_j1_invoicing_dashboard_20251229_014036.png,prod_j1_invoicing_dashboard_20251229_014036.png,Dashboard,Dashboard,Captured State,2025-12-29 01:40:37,3444.7,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
126,prod_j1_invoicing_dashboard_20251229_014404.png,prod_j1_invoicing_dashboard_20251229_014404.png,Dashboard,Dashboard,Captured State,2025-12-29 01:44:05,3444.7,404 error handling test,COMPLIANT,PASSED,VERIFIED
127,prod_j1_invoicing_dashboard_20251229_014830.png,prod_j1_invoicing_dashboard_20251229_014830.png,Dashboard,Dashboard,Captured State,2025-12-29 01:48:32,3444.7,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
128,prod_j1_invoicing_dashboard_20251229_015121.png,prod_j1_invoicing_dashboard_20251229_015121.png,Dashboard,Dashboard,Captured State,2025-12-29 01:51:22,3444.7,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
129,prod_j1_invoicing_dashboard_20251229_015330.png,prod_j1_invoicing_dashboard_20251229_015330.png,Dashboard,Dashboard,Captured State,2025-12-29 01:53:31,3444.7,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
130,prod_j1_new_appointment_form_20251229_003104.png,prod_j1_new_appointment_form_20251229_003104.png,General,"Form, Appointment",Captured State,2025-12-29 00:31:04,790.0,Feature verification - UI functional,COMPLIANT,PASSED,VERIFIED
